title:right, start timestamp:1638427531.213208, stop timestamp:1638427536.273771, headset type:EPOCX, headset serial:E202044C, headset firmware:710, channels:55, sampling rate:128, samples:649       , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1638427531.416714,111.000000,0.000000,4198.077148,4288.077148,4088.974365,4150.000000,4265.641113,4298.077148,4275.769043,4346.153809,4324.743652,4243.846191,4408.461426,4269.871582,4420.897461,4378.461426,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.424422,112.000000,0.000000,4200.769043,4287.692383,4088.461426,4145.769043,4261.666504,4289.358887,4270.384766,4351.153809,4332.948730,4252.948730,4410.512695,4270.000000,4419.102539,4381.794922,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.432230,113.000000,0.000000,4205.256348,4298.974121,4089.230713,4140.256348,4262.436035,4285.128418,4271.025879,4363.846191,4345.384766,4269.358887,4417.179688,4279.615234,4435.384766,4384.230957,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.439938,114.000000,0.000000,4212.692383,4313.974121,4102.692383,4151.922852,4266.666504,4294.102539,4290.512695,4394.358887,4370.512695,4293.077148,4445.384766,4309.102539,4460.384766,4389.230957,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.447746,115.000000,0.000000,4211.538574,4308.846191,4109.358887,4159.871582,4264.615234,4290.000000,4293.589844,4395.384766,4373.717773,4296.025879,4454.230957,4310.000000,4461.794922,4395.512695,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.455454,116.000000,0.000000,4197.692383,4293.077148,4089.871826,4148.333496,4261.922852,4282.692383,4276.410156,4365.897461,4352.179688,4282.179688,4431.538574,4280.384766,4446.410156,4378.717773,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.463262,117.000000,0.000000,4190.769043,4286.538574,4083.461426,4134.871582,4261.282227,4294.230957,4278.974121,4355.128418,4338.717773,4271.025879,4412.179688,4271.410156,4437.436035,4373.717773,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.470970,118.000000,0.000000,4185.128418,4277.820313,4082.179443,4124.743652,4253.717773,4298.717773,4285.256348,4341.282227,4321.922852,4252.948730,4397.307617,4262.051270,4422.051270,4376.282227,2304.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.478778,119.000000,0.000000,4173.717773,4266.538574,4069.743652,4116.538574,4246.922852,4285.769043,4271.025879,4308.077148,4294.487305,4232.179688,4382.307617,4236.410156,4403.461426,4366.794922,886.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.486486,120.000000,0.000000,4173.589844,4269.102539,4072.307617,4117.692383,4254.230957,4282.948730,4267.563965,4307.820313,4291.538574,4228.205078,4386.153809,4237.051270,4408.205078,4371.153809,2725.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427531.494294,121.000000,0.000000,4176.538574,4267.436035,4075.384521,4117.179688,4263.333496,4285.384766,4273.077148,4335.128418,4308.717773,4235.256348,4392.563965,4252.051270,4419.358887,4368.717773,3398.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
